HalfHourInterval,RegionID,Percentile,Value
25/06/2025 21:00,VIC1,P95,435.68751
25/06/2025 21:00,VIC1,P5,169.99083
25/06/2025 21:00,VIC1,P50,283.57
25/06/2025 21:30,VIC1,P75,313.997
25/06/2025 21:30,VIC1,P25,270.82
25/06/2025 21:30,VIC1,P90,356.50033
25/06/2025 21:30,VIC1,P10,244.21858
25/06/2025 21:30,VIC1,P95,446.11514
25/06/2025 21:30,VIC1,P5,166.82661
25/06/2025 21:30,VIC1,P50,282.82
25/06/2025 22:00,VIC1,P75,396.24
25/06/2025 22:00,VIC1,P25,282.82
25/06/2025 22:00,VIC1,P90,406.05835
25/06/2025 22:00,VIC1,P10,172.14964
25/06/2025 22:00,VIC1,P95,464.26312
25/06/2025 22:00,VIC1,P5,136.30915
25/06/2025 22:00,VIC1,P50,360.07
25/06/2025 22:30,VIC1,P75,197.35902
25/06/2025 22:30,VIC1,P25,166.88488
25/06/2025 22:30,VIC1,P90,282.82
25/06/2025 22:30,VIC1,P10,141.29019
25/06/2025 22:30,VIC1,P95,396.24
25/06/2025 22:30,VIC1,P5,127.7132
25/06/2025 22:30,VIC1,P50,171.27805
25/06/2025 23:00,VIC1,P75,167.92202
25/06/2025 23:00,VIC1,P25,131.94708
25/06/2025 23:00,VIC1,P90,171.71274
25/06/2025 23:00,VIC1,P10,129.93487
25/06/2025 23:00,VIC1,P95,368.63474
25/06/2025 23:00,VIC1,P5,121.57685
25/06/2025 23:00,VIC1,P50,140.51989
25/06/2025 23:30,VIC1,P75,167.96873
25/06/2025 23:30,VIC1,P25,143.04724
25/06/2025 23:30,VIC1,P90,171.10751
25/06/2025 23:30,VIC1,P10,122.02
25/06/2025 23:30,VIC1,P95,284.17793
25/06/2025 23:30,VIC1,P5,114.75488
25/06/2025 23:30,VIC1,P50,147.48199
26/06/2025 0:00,VIC1,P75,146.10706
26/06/2025 0:00,VIC1,P25,122.02
26/06/2025 0:00,VIC1,P90,168.84609
26/06/2025 0:00,VIC1,P10,96.95
26/06/2025 0:00,VIC1,P95,299.68642
26/06/2025 0:00,VIC1,P5,86.97085
26/06/2025 0:00,VIC1,P50,122.02
26/06/2025 0:30,VIC1,P75,122.02
26/06/2025 0:30,VIC1,P25,103.67
26/06/2025 0:30,VIC1,P90,122.02
26/06/2025 0:30,VIC1,P10,96.95
26/06/2025 0:30,VIC1,P95,183.85
26/06/2025 0:30,VIC1,P5,85.29936
26/06/2025 0:30,VIC1,P50,117.35082
26/06/2025 1:00,VIC1,P75,107.88977
26/06/2025 1:00,VIC1,P25,90.34553
26/06/2025 1:00,VIC1,P90,122.02
26/06/2025 1:00,VIC1,P10,91.03768
26/06/2025 1:00,VIC1,P95,171.69367
26/06/2025 1:00,VIC1,P5,84.68449
26/06/2025 1:00,VIC1,P50,93.61301
26/06/2025 1:30,VIC1,P75,122.02
26/06/2025 1:30,VIC1,P25,89.89237
26/06/2025 1:30,VIC1,P90,139.62779
26/06/2025 1:30,VIC1,P10,89.89237
26/06/2025 1:30,VIC1,P95,181.29
26/06/2025 1:30,VIC1,P5,77.16726
26/06/2025 1:30,VIC1,P50,94.20775
26/06/2025 2:00,VIC1,P75,141.01367
26/06/2025 2:00,VIC1,P25,96.23253
26/06/2025 2:00,VIC1,P90,166.05877
26/06/2025 2:00,VIC1,P10,96.35901
26/06/2025 2:00,VIC1,P95,181.29
26/06/2025 2:00,VIC1,P5,86.3759
26/06/2025 2:00,VIC1,P50,122.02
26/06/2025 2:30,VIC1,P75,122.02
26/06/2025 2:30,VIC1,P25,91.33671
26/06/2025 2:30,VIC1,P90,143.98411
26/06/2025 2:30,VIC1,P10,91.91716
26/06/2025 2:30,VIC1,P95,181.29
26/06/2025 2:30,VIC1,P5,85.48502
26/06/2025 2:30,VIC1,P50,97.20544
26/06/2025 3:00,VIC1,P75,144.03584
26/06/2025 3:00,VIC1,P25,88.59
26/06/2025 3:00,VIC1,P90,162.14898
26/06/2025 3:00,VIC1,P10,88.59
26/06/2025 3:00,VIC1,P95,183.85
26/06/2025 3:00,VIC1,P5,76.62433
26/06/2025 3:00,VIC1,P50,92.2752
26/06/2025 3:30,VIC1,P75,142.99442
26/06/2025 3:30,VIC1,P25,90.4896
26/06/2025 3:30,VIC1,P90,165.75646
26/06/2025 3:30,VIC1,P10,90.56259
26/06/2025 3:30,VIC1,P95,183.85
26/06/2025 3:30,VIC1,P5,76.47072
26/06/2025 3:30,VIC1,P50,93.54763
26/06/2025 4:00,VIC1,P75,142.63797
26/06/2025 4:00,VIC1,P25,88.96724
26/06/2025 4:00,VIC1,P90,170.56
26/06/2025 4:00,VIC1,P10,88.96724
26/06/2025 4:00,VIC1,P95,229.17
26/06/2025 4:00,VIC1,P5,76.95469
26/06/2025 4:00,VIC1,P50,93.19913
