Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
EDL (TT) Pty Limited,Tahmoor Waste Coal Mine Gas Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,N,TAHMOOR1
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Bidirectional Unit,Market,Scheduled ,Battery storage,Grid,Storage,Battery and Inverter,"1,2-3",Y,ADPBA1
Tailem Bend II Project Company Pty Ltd as trustee for the Tailem Bend II Project Trust,Tailem Bend 2 Hybrid Renewable Power Station,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-29,Y,TB2SF1
Vena Energy Services (Australia) Pty Ltd,Tailem Bend Solar Project 1,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-54,Y,TBSF1
EnergyAustralia Pty Ltd,Tallawarra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,Y,TALWA1
EnergyAustralia Pty Ltd,Tallawarra Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas Turbine (OCGT),1,N,TALWB1
Hydro-Electric Corporation,Tamar Valley Combined Cycle Power Station,TAS1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1-Feb,Y,TVCC201
Taralga Wind Farm Nominees No 2 Pty Ltd (ATF Taralga Wind Farm Operating Trust),Taralga Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-51,N,TARALGA1
South Australian Water Corporation,Bolivar Waste Water Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-3, 4-5",Y,BOWWBA1
Stanwell Corporation Limited,Tarong North Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Super Critical,1,Y,TNPS1
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,TARONG#1
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,TARONG#2
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,3,Y,TARONG#3
Stanwell Corporation Limited,Tarong Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,4,Y,TARONG#4
Hydro-Electric Corporation,Tarraleah Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Jun,Y,TARRALEA
Enel X Australia Pty Ltd ,Tataria Bordertown Plant,SA1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,Y,TATIARA1
Diamond Energy Pty Ltd,Tatura Biomass Generator,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Sewerage / Waste Water,Combustion,Compression Reciprocating Engine,1,N,TATURA01
South Australian Water Corporation,Happy Valley Water Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,"1-5,6-9",Y,HVWWBA1
AGL SA Generation Pty Limited,The Bluff Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-25,N,BLUFF1
Pacific Hydro Investments Pty Ltd,The Drop Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,N,THEDROP1
Alinta Energy Retail Sales Pty Ltd,Timboon West Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,Y,TIMWEST
Toora Wind Farm Pty Ltd,Toora Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Dec,Y,TOORAWF
South Australian Water Corporation ,Christies Beach Wastewater Treatment Plant,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-May,Y,CBWWBA1
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,1,Y,TORRB1
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,2,Y,TORRB2
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,3,Y,TORRB3
AGL SA Generation Pty Limited,Torrens Island Power Station,SA1,Generating Unit,Market,Scheduled,Fossil,Natural Gas / Fuel Oil,Combustion,Steam Sub-Critical,4,Y,TORRB4
EDL Group Operations Pty Ltd,Tower Power Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,Jan-40,N,TOWER
QPM Energy Markets Pty Ltd,Townsville Gas Turbine,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,Y,YABULU
QPM Energy Markets Pty Ltd,Townsville Gas Turbine,QLD1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),2,Y,YABULU2
NovaPower Pty Ltd,Traralgon Network Support Station,VIC1,Generating Unit,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Spark Ignition Reciprocating Engine,1-May,N,TGNSS1
Hydro-Electric Corporation,Trevallyn Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,TREVALLN
Hydro-Electric Corporation,Tribute Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,Y,TRIBUTE
Tully Sugar Limited,Tully Sugar Mill,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste and Fossil,Bagasse and Diesel,Combustion,Steam Super Critical and Compression Reciprocating Engine,1-May,,TULLYSM1
Snowy Hydro Limited,Tumut 3 Power Station,NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Jun,Y,TUMUT3
Snowy Hydro Limited,Tumut 3 Pumps,NSW1,Load,Market,Scheduled*,Hydro,Water,Renewable,Hydro - Gravity,4-Jun,Y,SNOWYP
Snowy Hydro Limited,Tumut Power Station,NSW1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Aug,Y,UPPTUMUT
Hydro-Electric Corporation,Tungatinah Power Station,TAS1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,"1, 2 & 5,3 & 4",Y,TUNGATIN
Stanwell Corporation Limited,Tarong BESS,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-164,Y,TARBESS1
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1,Y,URANQ11
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2,Y,URANQ12
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3,Y,URANQ13
Origin Energy Electricity Limited,Uranquinty Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4,Y,URANQ14
Diamond Energy Pty Ltd,Valdora Solar Farm,QLD1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat panel,1,Y,VALDORA1
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,5,Y,VP5
Delta Electricity,"Vales Point ""B"" Power Station",NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,6,Y,VP6
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),1-Jun,Y,VPGS1
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),2-Jun,Y,VPGS2
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),3-Jun,Y,VPGS3
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),4-Jun,Y,VPGS4
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),5-Jun,Y,VPGS5
Snowy Hydro Limited,Valley Power Peaking Facility,VIC1,Generating Unit,Market,Scheduled,Fossil,Natural Gas,Combustion,Open Cycle Gas turbines (OCGT),6-Jun,Y,VPGS6
Veolia Environmental Services (Australia) Pty Ltd,Veolia Ti Tree Bio Reactor,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Feb,N,TITREE
Wilmar Sugar Pty Ltd,Victoria Mill,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,3,N,-
Wilmar Sugar Pty Ltd,Victoria Mill,QLD1,Generating Unit,Non-Market,Non-Scheduled,Renewable/ Biomass / Waste,Bagasse,Combustion,Steam Super Critical,4,N,-
Tailem Bend II Project Company Pty Ltd as trustee for the Tailem Bend II Project Trust,Tailem Bend 2 Hybrid Renewable Power Station,SA1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-14,Y,TB2B1
Wagga Wagga Operationsco Pty Ltd Atf Wagga Wagga Operations Trust,Wagga North Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-34,Y,WAGGNSF1
Walla Walla Asset Co Pty Ltd as Trustee for the Walla Walla Asset Trust,Walla Walla Solar Farm 1,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-48,Y,WLWLSF1
Walla Walla Asset Co Pty Ltd as Trustee for the Walla Walla Asset Trust,Walla Walla Solar Farm 2,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,49-96,Y,WLWLSF2
Ulinda Park ProjectCo Pty Ltd,Ulinda Park BESS,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,Jan-52,Y,ULPBESS1
Stanwell Corporation Limited,Wambo Wind Farm 1,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-42,Y,WAMBOWF1
Victorian Big Battery Pty Ltd,Victorian Big Battery,VIC1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-212,Y,VBB1
Wandoan Solar Project Co Pty Ltd as the Trustee for Wandoan Solar Project Trust,Wandoan Solar Farm 1,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-44,Y,WANDSF1
CPE Mascot Pty Ltd,Wangaratta Solar Farm,VIC1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-Jun,N,WNSF1
Western Downs BESS Pty Ltd as trustee for the Western Downs BESS Trust,Western Downs Battery Energy Storage System,QLD1,Bidirectional Unit,Market,Scheduled,Battery storage,Grid,Storage,Battery and Inverter,1-140,Y,WDBESS1
The University of Queensland ,Warwick Solar Farm 1 ,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-24,Y,WARWSF1
The University of Queensland ,Warwick Solar Farm 2,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,Jan-24,Y,WARWSF2
Waterloo Wind Farm Pty Ltd,Waterloo Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-43,N,WATERLWF
AGL SA Generation Pty Limited,Wattle Point Wind Farm,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-55,Y,WPWF
Pyrenees Wind Energy Developments Pty Ltd,Waubra Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-128,N,WAUBRAWF
Wellington North Solar Farm Pty Limited,Wellington North Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-104,Y,WELNSF1
Lightsource Australia SPV 4 Pty Ltd ,Wellington Solar Farm ,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-132,Y,WELLSF1
Wemen Asset Co Pty Ltd As Trustee For Wemen Solar Unit Trust,Wemen Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-39,Y,WEMENSF1
Enel X Australia Pty Ltd ,West Illawarra Leagues Club Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1-Feb,Y,WESTILL1
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,WKIEWA1,Y,WKIEWA1
AGL Hydro Partnership,West Kiewa Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,WKIEWA2,Y,WKIEWA2
West Wyalong Fund Pty Ltd as Trustee for the West Wyalong Trust,West Wyalong Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-29,Y,WSTWYSF1
ZEN Energy Retail Pty Ltd,Templers Battery Energy Storage System,SA1,Bidirectional Unit,Market,Scheduled,Battery Storage,Grid,Storage,Battery and Inverter,Jan-80,Y,TEMPB1
Western Downs Green Power Hub Pty Ltd ATF Western Downs Green Power Hub Trust,Western Downs GPH,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-167,Y,WDGPH1
Enel X Australia Pty Ltd ,Western Suburbs League Club (Campbelltown) Plant,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,1,N,WESTCBT1
White Rock Wind Farm Pty Ltd,White Rock Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Flat Panel,71-78,Y,WRSF1
White Rock Wind Farm Pty Ltd,White Rock Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-70,Y,WRWF1
Whitsunday Solar Farm Pty Ltd,Whitsunday Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,Jan-23,Y,WHITSF1
Origin Energy Electricity Limited,Whitwood Road Renewable Energy Facility,QLD1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1,N,WHIT1
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park B,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-Apr,N,WILGB01
Santos NSW (Narrabri Power) Pty Ltd,Wilga Park Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Fossil,Coal Seam Methane,Combustion,Spark Ignition Reciprocating Engine,1-Jun,N,WILGAPK
Pacific Hydro Investments Pty Ltd,William Hovell Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Run of River,1,N,WILLHOV1
Willogoleche Power Pty Ltd As The Trustee For The Willogoleche Operating Trust,Willogoleche Wind Farm,SA1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-32,Y,WGWF1
Windy Hill Wind Farm Pty Ltd,Windy Hill Wind Farm,QLD1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,Y,WHILL1
EDL LFG (SA) Pty Ltd,Wingfield 1 Landfill Gas Power Station,SA1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,N,WINGF1_1
EDL LFG (SA) Pty Ltd,Wingfield 2 Landfill Gas Power Station,SA1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Apr,N,WINGF2_1
Winton Asset Co Pty Ltd as the Trustee for Winton Asset Trust,Winton Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat Panel,1-1076,Y,WINTSF1
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Load,Market,Scheduled,-,-,-,-,1,Y,PUMP1
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Load,Market,Scheduled,-,-,-,-,2,Y,PUMP2
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Pump Storage,1,Y,W/HOE#1
CleanCo Queensland Limited,Wivenhoe Power Station,QLD1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Pump Storage,2,Y,W/HOE#2
Wollar Solar Development Pty Ltd,Wollar Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,"1-29, 30-58",Y,WOLARSF1
LMS Energy Pty Ltd,Wollert Renewable Energy Facility,VIC1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Spark Ignition Reciprocating Engine,1-Jul,N,WOLLERT1
Progressive Green Pty Ltd,Wonthaggi Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Jun,Y,WONWP
EnergyAustralia Pty Ltd,Woodlawn Bioreactor Energy Generation Station,NSW1,Generating Unit,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,1-Jul,N,WDLNGN01
Woodlawn Wind Pty Ltd,Woodlawn Wind Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,,N,WOODLWN1
Hydro-Electric Corporation,Woolnorth Studland Bay / Bluff Point Wind Farm,TAS1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-62,Y,WOOLNTH1
Woolooga Fund Pty Ltd as Trustee for the Woolooga Trust ,Woolooga Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-89,Y,WOOLGSF1
Sun Spot 3 Pty Ltd,Wunghnu Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-34,Y,WUNUSF1
Wyalong Solar Farm Pty Ltd as trustee for the Wyalong Solar Farm Unit Trust,Wyalong Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-38,Y,WYASF1
Hydro Power Pty Limited,Wyangala A Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,WYANGALA
Hydro Power Pty Limited,Wyangala B Power Station,NSW1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1,N,WYANGALB
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,1,Y,YWPS1
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,2,Y,YWPS2
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,3,Y,YWPS3
EnergyAustralia Yallourn Pty Ltd,Yallourn 'W' Power Station,VIC1,Generating Unit,Market,Scheduled,Fossil,Brown Coal,Combustion,Steam Sub-Critical,4,Y,YWPS4
Pacific Hydro Yaloak South Pty Ltd,Yaloak South Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-14,Y,YSWF1
Energy Pacific (Vic) Pty Ltd,Yambuk Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-20,N,YAMBUKWF
Yarranlea Solar Pty Ltd ,Yarranlea Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-44,Y,YARANSF1
AGL Hydro Partnership,Yarrawonga Hydro Power Station,VIC1,Generating Unit,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,1-Feb,N,YWNGAHYD
RTA Yarwun Pty Ltd,Yarwun Power Station,QLD1,Generating Unit,Market,Non-Scheduled**,Fossil,Natural Gas,Combustion,Combined Cycle Gas Turbine (CCGT),1,Y,YARWUN_1
Yatpool Sun Farm Pty Ltd,Yatpool Solar Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-36,Y,YATSF1
Alinta Energy Retail Sales Pty Ltd,Yawong Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,1-Feb,Y,YAWWF1
Lal Lal Wind Farms Nom Co Pty Ltd,Yendon Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-38,Y,YENDWF1
