Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Units,Aggregation,DUID
Mortons Lane Windfarm Pty Limited,Mortons Lane Wind Farm,VIC1,Generating Unit,Market,Non-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-13,N,MLWF1
Ergon Energy Queensland Pty Ltd ,Mount Emerald Wind Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-53,N,MEWF1
Moura Solar Farm SPV Pty Ltd as the trustee for Moura Solar Farm Unit Trust,Moura Solar Farm,QLD1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel, 1-36,Y,MOUSF1
Mt. Gellibrand Wind Farm Pty Ltd,Mt Gellibrand Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-47,Y,MTGELWF1
Mt Mercer Windfarm Pty Ltd,Mt Mercer Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-64,N,MERCER01
Mt Millar Wind Farm Pty Ltd,Mt Millar Wind Farm,SA1,Generating Unit,Market,Non-Scheduled*,Wind,Wind,Renewable,Wind - Onshore,Jan-35,Y,MTMILLAR
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,1,Y,MP1
EnergyAustralia Pty Ltd,Mt Piper Power Station,NSW1,Generating Unit,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,2,Y,MP2
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),1,Y,MSTUART1
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),2,Y,MSTUART2
Origin Energy Electricity Limited,Mt Stuart Power Station,QLD1,Generating Unit,Market,Scheduled,Fossil,Kerosene,Combustion,Open Cycle Gas turbines (OCGT),3,Y,MSTUART3
Mugga Lane Solar Park Pty Ltd,Mugga Lane Solar Park,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1,Y,MLSP1
Telstra Energy (Generation) Pty Ltd,Murra Warra Wind Farm,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-61,Y,MUWAWF1
Murra Warra II Project Co Pty Ltd ATF The Murra Warra II Project Trust,Murra Warra Wind Farm Stage 2,VIC1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-38,Y,MUWAWF2
South Australian Water Corporation ,Murray Bridge-Onkaparinga Pipeline Pumping Station No 2,SA1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-May,Y,MBPS2PV1
Snowy Hydro Limited,Murray Power Station,VIC1,Generating Unit,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Jan-14,Y,MURRAY
Hydro-Electric Corporation,Musselroe Wind Farm,TAS1,Generating Unit,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-56,N,MUSSELR1
Dubbo Solar Hub Pty Ltd,Narromine Solar Farm,NSW1,Generating Unit,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Apr,N,NASF1
Nevertire Solar Pty Ltd as Trustee for Nevertire Solar Trust,Nevertire Solar Farm,NSW1,Generating Unit,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-48,N,NEVERSF1
