DATETIME,beta
2025-06-26 01:00:00,-0.5425706500000002
2025-06-26 01:30:00,-0.43956760000000006
2025-06-26 02:00:00,-0.19737925
2025-06-26 02:30:00,-0.1568287875
2025-06-26 03:00:00,-0.18428418000000005
2025-06-26 03:30:00,-0.29254789166666667
2025-06-26 04:00:00,-0.4028941214285714
2025-06-26 04:30:00,-0.09786604375000002
2025-06-26 05:00:00,-0.11643561666666669
2025-06-26 05:30:00,-0.09498097000000004
2025-06-26 06:00:00,-0.08453992272727272
2025-06-26 06:30:00,-0.1275286833333333
2025-06-26 07:00:00,-0.26053263461538456
2025-06-26 07:30:00,-0.5832269499999997
2025-06-26 08:00:00,-0.6802249033333333
2025-06-26 08:30:00,-0.9414475812499998
2025-06-26 09:00:00,-0.7069446764705881
2025-06-26 09:30:00,-0.21684603055555554
2025-06-26 10:00:00,-1.006963107894737
2025-06-26 10:30:00,-0.5663843574999999
2025-06-26 11:00:00,-0.7687212047619048
2025-06-26 11:30:00,-0.42528845681818184
2025-06-26 12:00:00,-0.34673121521739125
2025-06-26 12:30:00,-0.31455663124999994
2025-06-26 13:00:00,-0.3615763359999999
2025-06-26 13:30:00,-0.4275352596153846
2025-06-26 14:00:00,-0.25865724259259254
2025-06-26 14:30:00,-0.4646136875
2025-06-26 15:00:00,-0.6145925000000001
2025-06-26 15:30:00,-0.5482554783333332
2025-06-26 16:00:00,-0.5637226274193549
2025-06-26 16:30:00,-1.0131481515625
2025-06-26 17:00:00,-6.234327518181818
2025-06-26 17:30:00,-8.548581114705879
2025-06-26 18:00:00,-3.399899258571428
2025-06-26 18:30:00,-1.7440922125
2025-06-26 19:00:00,-0.8925038175675685
2025-06-26 19:30:00,-3.2354557684210525
2025-06-26 20:00:00,-5.190599015384615
2025-06-26 20:30:00,-4.50623659375
2025-06-26 21:00:00,-4.75948439390244
2025-06-26 21:30:00,-17.62347138928572
2025-06-26 22:00:00,-1.1497772093023255
2025-06-26 22:30:00,-0.30128154204545454
2025-06-26 23:00:00,-0.059537742222222224
2025-06-26 23:30:00,-0.1332179597826087
2025-06-27 00:00:00,-0.11420712659574472
2025-06-27 00:30:00,-0.06440295851063828
2025-06-27 01:00:00,-0.09410509999999997
2025-06-27 01:30:00,-0.07817565
2025-06-27 02:00:00,-0.16781635744680848
2025-06-27 02:30:00,-0.19110426595744678
2025-06-27 03:00:00,-0.2550539478723404
2025-06-27 03:30:00,-0.2998676010638298
2025-06-27 04:00:00,-0.2477681797872341
2025-06-27 04:30:00,-0.30487273181818175
2025-06-27 05:00:00,-0.21850492045454553
2025-06-27 05:30:00,-0.1300713
2025-06-27 06:00:00,-0.08149823181818182
2025-06-27 06:30:00,-0.06775366590909093
2025-06-27 07:00:00,-0.07255329772727276
2025-06-27 07:30:00,-0.31917658409090915
2025-06-27 08:00:00,-0.8914751022727274
2025-06-27 08:30:00,-0.7853443977272728
2025-06-27 09:00:00,-0.7556853090909091
2025-06-27 09:30:00,-0.7425385181818182
2025-06-27 10:00:00,-0.19091241136363638
2025-06-27 10:30:00,-0.21745454545454546
2025-06-27 11:00:00,-0.31756231590909084
2025-06-27 11:30:00,-0.10729776818181817
2025-06-27 12:00:00,-0.18009230227272724
2025-06-27 12:30:00,-0.2104816818181819
2025-06-27 13:00:00,-0.24530360909090912
2025-06-27 13:30:00,-0.20145415454545457
2025-06-27 14:00:00,-0.18813675000000005
2025-06-27 14:30:00,-0.25109706590909087
2025-06-27 15:00:00,-0.296372740909091
2025-06-27 15:30:00,-0.196654509090909
2025-06-27 16:00:00,-0.19484574318181822
2025-06-27 16:30:00,-0.6223378590909092
2025-06-27 17:00:00,-11.047222263636364
2025-06-27 17:30:00,-8.728602006818182
2025-06-27 18:00:00,-2.9651926113636375
2025-06-27 18:30:00,-1.370177425000001
2025-06-27 19:00:00,-2.266997211363636
2025-06-27 19:30:00,-16.99394843409091
2025-06-27 20:00:00,-21.648314193181815
2025-06-27 20:30:00,-8.47004640909091
2025-06-27 21:00:00,-0.9641671159090912
2025-06-27 21:30:00,-0.07339796818181824
2025-06-27 22:00:00,-0.07738695909090915
2025-06-27 22:30:00,-0.04658890909090909
2025-06-27 23:00:00,-0.10025900454545456
2025-06-27 23:30:00,-0.08423974999999996
2025-06-28 00:00:00,-0.09674081136363637
2025-06-28 00:30:00,-0.1184911727272727
2025-06-28 01:00:00,-0.08904730454545452
2025-06-28 01:30:00,-0.1183599068181818
2025-06-28 02:00:00,-0.14196635909090907
2025-06-28 02:30:00,-0.1363541431818182
2025-06-28 03:00:00,-0.10743010227272723
2025-06-28 03:30:00,-0.09248533181818185
2025-06-28 04:00:00,-0.07136446363636365
