SETTLEMENTDATE,GEN_TYPE,DIRECTION,PRICEBAND1,PRICEBAND2,PRICEBAND3,PRICEBAND4,PRICEBAND5,PRICEBAND6,PRICEBAND7,PRICEBAND8,PRICEBAND9,PRICEBAND10,DISPATCHTYPE
2025-05-25,Battery Storage (Competitor),GEN,-1000.0,0,132.72,270.82,360.07,406.48,983.96,3898.0,11169.78,17500.0,BIDIRECTIONAL
2025-05-25,Battery Storage (Competitor),LOAD,-1000.0,-253.6,-91.18,-20.19,0,20.04,90.0,227.97,449.0,17500.0,BIDIRECTIONAL
